"","k.star.lme","k.star.mcmc","se.lme","se.mcmc"
"Acer_pensylvanicum",1.20051140762966,1.17307329824085,0.496802938332961,0.510676795667011
"Acer_platanoides",1.27190904383713,1.25474081951872,0.382725611143251,0.391218534297641
"Acer_pseudoplatanus",1.55262789058543,1.53033020638907,0.376867477784893,0.377026229404995
"Acer_rubrum",1.69095882036108,1.67002394696352,0.419753620968168,0.427602281073191
"Acer_saccharum",0.74043396299008,0.71112951486661,0.388985633266479,0.394739288895669
"Acer_truncatum",2.20553764792203,2.17755320990759,0.49823392347091,0.512677768601901
"Achillea_filipendulina",2.06136306575235,2.03825211619197,0.503506824701614,0.513343220985511
"Achillea_millefolium",1.97373293130876,1.94850762448315,0.385185806972159,0.38361884349676
"Achyranthes_bidentata",2.50909524026264,2.48635190503578,0.444165249313707,0.453071456056053
"Aconitum_nasutum",1.81581980818533,1.79163767176558,0.500753815983547,0.524188090047076
"Actinodaphne_henryi",0.149237015074031,0.135036070632299,0.498233923470897,0.505579153166745
"Actinodaphne_pilosa",-0.128761796685207,-0.143728791545234,0.498233923470906,0.502685833183601
"Aegilops_triuncialis",1.17281400610027,1.14446318020438,0.661444973440201,0.662468799058874
"Aesculus_glabra",1.2564094653411,1.22242254459508,0.445285205382668,0.440846059724593
"Aesculus_hippocastanum",0.86987944795348,0.848523914865339,0.390539309474627,0.39229873106678
"Aetheopappus_caucasicus",1.93037398738485,1.90623596544477,0.500753815983555,0.503942312869609
"Afrocarpus_gracilor",0.447610602347367,0.406046628388627,0.506037810038741,0.484076057308188
"Agathis_australis",0.0123839232472017,-0.00947552562450316,0.514855066774516,0.499923461461189
"Agathis_robusta",0.830385484551382,0.795535305016892,0.506037810038738,0.500169957573238
"Agoseris_glauca",1.75750234700514,1.72578589745818,0.500107462911552,0.488528986137771
"Agrimonia_eupatoria",0.836044388145225,0.795129309712449,0.547278827858847,0.54083641720046
"Agriophyllum_squarrosum",1.93341325474547,1.91198554289263,0.419373641102525,0.420082348816986
"Agropyron_smithii",1.11293476002466,1.07464796885204,0.531919216368871,0.51918362941976
"Agrostis_capillaris",1.22176410308916,1.20587331789783,0.401130720329451,0.406294193701179
"Agrostis_vinealis",1.24763240539891,1.22870045990614,0.500753815983553,0.512560209421447
"Ailanthus_altissima",1.79588759569846,1.77889262055351,0.513350303623971,0.525921355867497
"Alchemilla_caucasica",0.826663413984112,0.806617378220651,0.500753815983554,0.50455277449778
"Alchemilla_pinnata",2.82186136306598,2.79852376505186,0.513269368925242,0.514207535516174
"Alchemilla_sp",2.0232703499009,1.99835709300748,0.489252112940085,0.494514111460056
"Alchemilla_vulgaris",1.9102130909332,1.88591963739617,0.500753815983557,0.490582756134043
"Alchornea_davidii",1.81706973959976,1.79374725161923,0.444165249313697,0.44668459374754
"Alchornea_latifolia",1.03487145821602,1.01450686918405,0.571798248901573,0.556375423345568
"Alectoria_ochroleuca",2.25718060932479,2.23462962605358,0.500165127634302,0.501422285117485
"Allenrolfea_patagonica",2.51517202570971,2.51261296342066,0.513269368925242,0.519275900243373
"Allocasuarina_sp",0.449288965134693,0.444912523025505,0.559840810388502,0.556017217834845
"Alnus_acuminata",1.22342490106948,1.19619734149203,0.473494256316636,0.47740307665304
"Alnus_glutinosa",1.43308618302361,1.40807297427661,0.362219032662823,0.358422912206671
"Alnus_incana",1.47930092227044,1.45226579163562,0.364096632215798,0.364127969582603
"Alseodaphne_andersonii",-0.311975100278815,-0.332255714798422,0.498233923470896,0.509772857565984
"Alseodaphne_petiolaris",-0.243573479464111,-0.273640266819344,0.498233923470896,0.503630176987013
